Software,Version Info
actc,"aces: 1.1
anvil: 0.2.0
faster: 1.1"
antlr,"aces: 2.7.7-Java-11
faster: 2.7.7-Java-11"
aocc,"aces: 4.0.0
anvil: 3.1.0
bridges-2: 2.2.0, 2.3.0
delta: 4.1.0
expanse: io3s466
faster: 3.1.0
jetstream: aocc-compiler-4.0.0"
apr,"aces: 1.7.0
faster: 1.7.0"
apr-util,"aces: 1.6.1
faster: 1.6.1"
ase,"aces: 3.20.1, 3.22.1
faster: 3.20.1"
atk,"aces: 2.36.0, 2.38.0
faster: 2.34.1, 2.36.0, 2.38.0"
abseil,"aces: 20230125.2, 20230125.3, 20230802.1
faster: 20210324.2, 20230125.2, 20230125.3, 20230802.1"
alphafold,"aces: 2.3.2-CUDA-11.8.0
anvil: 2.1.1, 2.2.0, 2.2.3, 2.3.0, 2.3.1
faster: 2.1.1, 2.2.2-CUDA-11.3.1"
alphapickle,"aces: 1.4.1
faster: 1.4.1"
ambertools,"aces: 22.3
faster: 21.12"
anaconda3,"aces: 2021.11, 2022.05, 2022.10, 2023.03-1, 2023.07-2, 2024.02-1
bridges-2: 2020.07, 2020.11, 2022.10
expanse: kfluefz, q4munrg
faster: 2020.11, 2021.05, 2021.11, 2022.05, 2022.10, 2023.03-1, 2023.07-2, ..."
armadillo,"aces: 11.4.3, 12.6.2
delta: 12.4.0
expanse: 9.800.3-openblas
faster: 10.7.5, 11.4.3, 12.6.2"
arrow,"aces: 8.0.0, 11.0.0
faster: 0.17.1, 6.0.0, 8.0.0"
autoconf,"aces: 2.69, 2.71
faster: 2.69, 2.71"
automake,"aces: 1.16.2, 1.16.3, 1.16.4, 1.16.5
faster: 1.16.1, 1.16.2, 1.16.3, 1.16.4, 1.16.5"
autotools,"aces: 20200321, 20210128, 20210726, 20220317
faster: 20180311, 20200321, 20210128, 20210726, 20220317
kyric: autotools"
bbmap,"aces: 38.90
anvil: 38.93, 38.96
bridges-2: 39.01
faster: 38.90, 38.96"
bedtools,"aces: 2.31.0
anvil: 2.30.0, 2.31.0
bridges-2: 2.29.2, 2.30.0
faster: 2.30.0"
blast+,"aces: 2.13.0, 2.14.1
faster: 2.9.0, 2.12.0, 2.13.0"
blis,"aces: 0.8.1, 0.9.0
anvil: 0.8.1
faster: 0.8.0, 0.8.1, 0.9.0, 2.2-amd, 3.1-amd"
bwa,"aces: 0.7.17
anvil: 0.7.17
bridges-2: 0.7.3a
expanse: 0.7.17
faster: 0.7.17"
bamtools,"aces: 2.5.2
anvil: 2.5.1, 2.5.2
bridges-2: 2.5.1
expanse: 2.5.1
faster: 2.5.2"
bazel,"aces: 3.7.2, 4.2.2, 5.1.1, 6.3.1
bridges-2: 3.7.1
faster: 0.26.1, 0.29.1, 2.0.0, 3.6.0, 3.7.2, 4.2.2, 5.1.1, 6.3.1"
beautifulsoup,"aces: 4.10.0, 4.11.1, 4.12.2
faster: 4.10.0"
bioperl,"aces: 1.7.8
faster: 1.7.2, 1.7.8"
biopython,"aces: 1.79, 1.81, 1.82
anvil: 1.70-np112py27, 1.70-np112py36, 1.78
faster: 1.75-Python-3.7.4, 1.78, 1.79"
bison,"aces: 3.3.2, 3.7.1, 3.7.6, 3.8.2
faster: 3.0.4, 3.0.5, 3.3.2, 3.5.3, 3.7.1, 3.7.6, 3.8.2"
blender,"aces: 3.5.0-linux-x86_64-CUDA-11.7.0
faster: 3.0.0-linux-x64, 3.1.2-linux-x64"
blosc2,"aces: 2.4.3
faster: 2.4.3"
boost,"aces: 1.76.0, 1.77.0, 1.79.0, 1.81.0, 1.82.0, 1.83.0
anvil: 1.74.0
bridges-2: 1.75-gcc10.2.0, 1.75.0-intel20.4
delta: 1.83.0
expanse: bbnd4wn, ckwq57r, ...
faster: 1.71.0, 1.72.0, 1.74.0, 1.76.0, 1.77.0, 1.79.0, 1.81.0, 1.82.0
kyric: 1.73.0"
boost.mpi,aces: 1.79.0
boost.python,"aces: 1.79.0, 1.81.0, 1.83.0
faster: 1.71.0, 1.76.0, 1.77.0, 1.81.0"
brotli,"aces: 1.0.9
faster: 1.0.9"
brotli-python,aces: 1.0.9
brunsli,"aces: 0.1
faster: 0.1"
cd-hit,"aces: 4.8.1
anvil: 4.8.1
faster: 4.8.1"
cdo,"aces: 2.0.5
anvil: 1.9.9
delta: 2.4.0
faster: 1.9.10"
cesm-deps,"aces: 2
faster: 2"
cfitsio,"aces: 4.2.0, 4.3.0
faster: 3.49, 4.2.0, 4.3.0"
cgal,"aces: 4.14.3, 5.6
expanse: axpdrof, jrg6ven, lnidf3a
faster: 4.14.3-Python-3.8.2, 4.14.3, 5.2"
cgns,aces: 4.4.0
clhep,"aces: 2.4.6.2
faster: 2.4.5.1, 2.4.6.4"
clip,aces: 20230220-CUDA-11.7.0
cmake,"aces: 3.18.4, 3.20.1, 3.21.1, 3.22.1, 3.23.1, 3.24.3, 3.26.3, 3.27.6
anvil: 3.20.0
delta: 3.20.2, 3.27.9
expanse: bpzre3q, rc2aosa, ...
faster: 3.11.4, 3.15.3, 3.16.4, 3.18.4, 3.20.1, 3.21.1, 3.22.1, 3.23.1, 3.24.3, 3.26.3, 3.27.6
kyric: 3.16.2"
cp2k,"aces: 9.1-lib, 9.1, 2022.1-lib, 2022.1, 2023.1-CUDA-11.8.0, 2023.1-lib, 2023.1-PLUMED-2.9.0, 2023.1
anvil: 8.2
bridges-2: 7.1-intel, 8.1-gcc10.2.0-openmpi4.0.5, ...
expanse: ub7xgkh-omp
faster: 8.2, 2023.1-CUDA-11.8.0"
cuda,"aces: 11.1.1, 11.3.1, 11.4.1, 11.7.0, 11.8.0, 12.0.0, 12.1.0, 12.1.1, 12.2.0, 12.2.2, 12.3.0, 12.3.2
anvil: 11.0.3, 11.2.2, 11.4.2, 12.0.1
bridges-2: 9.2.0, 10.0.0, 10.2.0, 11.7.1, 12.4.0
delta: 11.3.1, 11.7.0, 11.8.0.testing, 11.8.0, ...
expanse: blza2ps, ouuq5zm
faster: 10.1.243, 11.0.2, 11.1.1, 11.2.2, 11.3.1, 11.4.1, 11.4.2, 11.5.0, 11.6.0, 11.7.0, 11.8.0, 12.0.0, ..."
cuda-samples,"aces: 12.1-CUDA-12.1.1
faster: 12.1-CUDA-12.1.1"
cudacore,"aces: 11.1.1
faster: 11.0.2, 11.1.1, 11.4.1"
cunit,"aces: 2.1-3
faster: 2.1-3"
cartopy,"aces: 0.20.3, 0.22.0
faster: 0.20.0, 0.20.3, 0.22.0"
catch2,"aces: 3.4.0
faster: 2.13.9, 3.4.0"
chameleon,aces: 1.2.0
check,"aces: 0.15.2
faster: 0.15.2"
chimerax,"aces: 1.3, 1.6.1, 1.7.1
faster: 1.2.5, 1.4, 1.5, 1.6.1, 1.7"
clang,"aces: 13.0.1, 15.0.5, 16.0.6
faster: 11.0.1, 12.0.1, 13.0.1-CUDA-11.4.1, 13.0.1, 16.0.6"
climetlab,aces: 0.12.6
colabfold,"aces: 1.5.2-CUDA-11.7.0
faster: 1.3.0-CUDA-11.3.1"
coordgenlibs,"aces: 3.0.1
faster: 3.0.1"
cryosparc,aces: 4.2.1
cupy,"aces: 11.4.0-CUDA-11.4.1
faster: 11.4.0-CUDA-11.4.1"
cubegui,aces: 4.8.2
cubelib,"aces: 4.8.1, 4.8.2"
cubewriter,aces: 4.8.2
cython,"aces: 0.29.33, 3.0.7
faster: 0.29.22, 0.29.30, 0.29.33, 3.0a5, 3.0.7"
db,"aces: 18.1.40
faster: 18.1.32, 18.1.40"
dbcsr,"aces: 2.5.0, 2.6.0
faster: 2.5.0"
dbus,"aces: 1.13.18, 1.14.0, 1.15.2, 1.15.4
faster: 1.13.12, 1.13.18, 1.14.0, 1.15.2, 1.15.4"
dcmtk,"aces: 3.6.7
faster: 3.6.7"
dorado,"aces: 0.5.2-CUDA-11.8.0
bridges-2: 0.6.0"
doxygen,"aces: 1.8.20, 1.9.1, 1.9.4, 1.9.5, 1.9.7, 1.9.8
expanse: 1.8.17
faster: 1.8.14, 1.8.16, 1.8.17, 1.8.20, 1.9.1, 1.9.4, 1.9.5, 1.9.7, 1.9.8"
draco,"aces: 1.5.6
faster: 1.5.6"
elpa,"aces: 2021.11.001, 2022.05.001-CUDA-11.8.0, 2022.05.001, 2023.05.001
expanse: eq4324u, fyc633z
faster: 2021.05.001, 2021.11.001, 2022.05.001CUDA-11.8.0"
esmf,"aces: 8.0.1, 8.1.1, 8.3.0
expanse: nvkj3wb
faster: 8.1.1, 8.2.0, 8.3.0"
easybuild,"aces: 4.7.1, 4.8.0, 4.8.2, 4.9.0
faster: 4.5.1, 4.5.4, 4.5.5, 4.6.0, 4.6.2, 4.7.0, 4.7.1, 4.7.2, 4.8.2
kyric: 4.3.0"
easybuild-aces,aces: 0
easybuild-aces-scratch,aces: 0
easybuild-aces-myeb,aces: 0
easybuild-aces-tmp,aces: 0
eigen,"aces: 3.3.8, 3.3.9, 3.4.0
anvil: 3.3.9
expanse: aoih524, rarzo6s, ...
faster: 3.3.7, 3.3.8, 3.3.9, 3.4.0"
emacs,"aces: 27.2, 28.2
anvil: 27.2"
fftw,"aces: 3.3.8, 3.3.9, 3.3.10
anvil: 2.1.5, 3.3.8
bridges-2: 3.3.8
delta: 3.3.10
expanse: bmvqsbr, cesmlwb, ...
faster: 3.3.8, 3.3.9, 3.3.10"
fftw.mpi,"aces: 3.3.10
faster: 3.3.10"
ffmpeg,"aces: 4.3.2, 4.4.2, 5.1.2, 6.0
anvil: 4.2.2
bridges-2: 4.3.1
expanse: vac6d7f, w7ehiyr
faster: 4.2.2, 4.3.1, 4.3.2, 4.4.2, 5.0.1, 5.1.2, 6.0"
flac,"aces: 1.3.3, 1.3.4, 1.4.2
faster: 1.3.3, 1.3.4, 1.4.2"
fltk,"aces: 1.3.8
faster: 1.3.5, 1.3.7, 1.3.8"
fastqc,"aces: 0.11.9-Java-11
anvil: 0.11.9, 0.12.1
bridges-2: 0.11.9
expanse: 0.11.7
faster: 0.11.9-Java-11"
fasttree,"aces: 2.1.11
anvil: 2.1.10, 2.1.11
expanse: 2.1.10
faster: 2.1.11"
fiona,"aces: 1.8.21, 1.9.2, 1.9.5
faster: 1.8.16-Python-3.8.2, 1.8.20, 1.8.21, 1.9.5"
firefox,"aces: 118.0.2, 124.0.1
faster: 44.0.2, 114.0b9, 118.0.2"
flask,"aces: 1.1.2, 2.2.2
faster: 1.1.2, 2.0.2, 2.2.2"
flexiblas,"aces: 3.0.4, 3.2.0, 3.2.1, 3.3.1
delta: 3.3.0
faster: 3.0.4, 3.2.0, 3.2.1, 3.3.1"
freexl,"aces: 1.0.6
faster: 1.0.6"
fribidi,"aces: 1.0.10, 1.0.12
faster: 1.0.5, 1.0.9, 1.0.10, 1.0.12"
gatk,"aces: 4.4.0.0-Java-17
anvil: 3.8, 4.1.8.1
bridges-2: 4.1.9.0
expanse: ybsfk6k
faster: 4.2.0.0-Java-1.8, 4.2.5.0-Java-11"
gcc,"aces: 8.3.0, 10.2.0, 10.3.0, 11.2.0, 11.3.0, 12.2.0, 12.3.0, 13.1.0, 13.2.0
anvil: 8.4.1, 11.2.0-openacc, 11.2.0
bridges-2: 10.2.0, 13.2.1-p20240113
delta: 11.4.0
expanse: xiuwkua
faster: 7.3.0-2.30, 8.3.0, 9.3.0, 10.2.0, 10.3.0, 11.2.0, 11.3.0, 12.1.0, 12.2.0, 12.3.0, 13.1.0, 13.2.0"
gcccore,"aces: 8.3.0, 10.2.0, 10.3.0, 11.2.0, 11.3.0, 12.2.0, 12.3.0, 13.1.0, 13.2.0
faster: 7.3.0, 8.2.0, 8.3.0, 9.2.0, 9.3.0, 10.2.0, 10.3.0, 11.2.0, 11.3.0, 12.1.0, ..."
gconf,"aces: 3.2.6
faster: 3.2.6"
gdal,"aces: 3.2.1, 3.3.0, 3.3.2, 3.5.0, 3.6.2, 3.7.1
anvil: 2.4.4, 3.2.0
expanse: myvhqxy
faster: 3.0.4-Python-3.8.2, 3.2.1, 3.3.0, 3.3.2, 3.5.0, 3.6.2, 3.7.1"
gdb,"aces: 13.2
anvil: 11.1
expanse: am633ff, vcxzknn, xs4oifw
faster: 13.2"
gdrcopy,"aces: 2.1-CUDA-11.1.1, 2.2, 2.3, 2.3.1, 2.4
delta: 2.3
faster: 2.1-CUDA-11.0.2, 2.1-CUDA-11.1.1, 2.2, 2.3, 2.3.1"
geos,"aces: 3.9.1, 3.10.3, 3.11.1, 3.12.0
anvil: 3.8.1, 3.9.1
expanse: ad5oco3
faster: 3.8.1-Python-3.8.2, 3.9.1, 3.10.3, 3.11.1, 3.12.0"
gklib,"aces: 5.1.1, 20231211, 20240119, 20240321, 20240329"
gl2ps,"aces: 1.4.2
faster: 1.4.2"
glfw,"aces: 3.3.8
faster: 3.3.4, 3.3.8"
glm,"aces: 0.9.9.8
delta: 0.9.9.8"
glpk,"aces: 5.0
expanse: 2266fla
faster: 4.65, 5.0"
glib,"aces: 2.66.1, 2.68.2, 2.69.1, 2.72.1, 2.75.0, 2.77.1
faster: 2.62.0, 2.64.1, 2.66.1, 2.68.2, 2.69.1, 2.72.1, 2.75.0, 2.77.1"
gmp,"aces: 6.2.0, 6.2.1, 6.3.0
anvil: 6.2.1
expanse: 6.1.2
faster: 6.1.2, 6.2.0, 6.2.1"
gobject-introspection,"aces: 1.68.0, 1.72.0, 1.74.0, 1.76.1
faster: 1.63.1-Python-3.7.4, 1.64.0-Python-3.8.2, 1.66.1, ..."
gpflow,"aces: 2.9.0-CUDA-11.7.0-TensorFlow-2.11.0, 2.9.0-CUDA-11.7.0
faster: 2.9.0-CUDA-11.7.0-TensorFlow-2.11.0"
grass,"aces: 8.2.0, 8.3.1
faster: 8.2.0"
gromacs,"aces: 2021.5-CUDA-11.4.1-PLUMED-2.8.0, 2023.1-CUDA-11.7.0, 2023.1-CUDA-12.2.0, 2023.3-CUDA-11.8.0, ...
anvil: 2020.2, 2021, 2021.2, 2021.3
bridges-2: 2018, 2020.2-cpu, 2020.4-gpu
delta: 2022.5.cuda, 2022.5.x86_64
expanse: rspmhnj-omp, sbq2qrc-omp
faster: 2020.5-RAMD-2.0, 2021-constantph-2022.05.25, 2021, 2021.3, 2021.5-CUDA-11.4.1-PLUMED-2.8.0, ..."
gsl,"aces: 2.6, 2.7
anvil: 2.4
delta: 2.7.1
expanse: aji2yx5, gfpesxa, ix3kgnc, ...
faster: 2.6, 2.7"
gst-plugins-bad,"aces: 1.20.2
faster: 1.20.2"
gst-plugins-base,"aces: 1.18.5, 1.20.2, 1.22.1
faster: 1.16.2, 1.18.4, 1.18.5, 1.20.2, 1.22.1"
gstreamer,"aces: 1.18.5, 1.20.2, 1.22.1, 1.22.5
anvil: 1.16.1
faster: 1.16.2, 1.18.4, 1.18.5, 1.20.2, 1.22.1"
gtk2,"aces: 2.24.33
faster: 2.24.33"
gtk3,"aces: 3.24.31, 3.24.35, 3.24.37
faster: 3.24.31, 3.24.33, 3.24.35, 3.24.37"
gtk4,"aces: 4.7.0
faster: 4.7.0"
gts,"aces: 0.7.6
faster: 0.7.6"
gdk-pixbuf,"aces: 2.42.6, 2.42.8, 2.42.10
faster: 2.38.2, 2.40.0, 2.42.0, 2.42.6, 2.42.8, 2.42.10"
geant4,aces: 11.1.2
geant4-data,aces: 11.1
generativemodels,aces: 0.2.1-CUDA-11.7.0
ghostscript,"aces: 9.54.0, 9.56.1, 10.0.0, 10.01.2
anvil: 9.56.1
faster: 9.52, 9.53.3, 9.54.0, 9.56.1, 10.0.0, 10.01.2"
globalarrays,"aces: 5.8.2
faster: 5.8, 5.8.2"
globus-cli,"aces: 3.6.0
faster: 3.6.0"
gnutls,"aces: 3.7.3
faster: 3.7.3"
go,"aces: 1.18.3
expanse: 1.15.1
faster: 1.17.6, 1.18.3, 1.19.1, 1.20.5, 1.21.2"
graphblas,aces: 8.2.1
graphene,"aces: 1.10.8
faster: 1.10.8"
graphicsmagick,"aces: 1.3.36
faster: 1.3.36"
graphviz,"aces: 5.0.0
expanse: rsjj7kb
faster: 2.47.2, 2.50.0, 8.1.0"
greenlet,aces: 2.0.2
guile,"aces: 3.0.7
faster: 1.8.8, 3.0.7"
hdf,"aces: 4.2.15, 4.2.16-2
anvil: 4.2.15
expanse: 4.2.15
faster: 4.2.15, 4.2.16-2"
hdf-eos,aces: 2.20
hdf-eos5,aces: 1.16
hdf5,"aces: 1.10.7, 1.12.1, 1.12.2, 1.14.0, 1.14.2, 1.14.3
anvil: 1.10.7
bridges-2: 1.10.7-gcc10.2.0, 1.12.0-intel20.4
delta: 1.14.3
expanse: butdr5c, e27q55q, ...
faster: 1.10.2, 1.10.5, 1.10.6, 1.10.7, 1.12.1, 1.12.2, 1.13.1, 1.14.0, 1.14.3"
hh-suite,"aces: 3.3.0
faster: 3.3.0"
hisat2,"aces: 2.2.1
anvil: 2.2.1
bridges-2: 2.2.1
expanse: qip6jby
faster: 2.2.1"
hmmer,"aces: 3.3.2
anvil: 3.3.2
bridges-2: 3.3.1
faster: 3.3.2"
hpc-x,aces: 2.14
hprc_utils,aces: 1.0
htseq,"aces: 2.0.2
anvil: 0.11.2, 0.13.5, 1.99.2, 2.0.1, 2.0.2-py310, 2.0.2
faster: 2.0.2"
htslib,"aces: 1.15.1
anvil: 1.14, 1.15, 1.16, 1.17
bridges-2: 1.13
expanse: 4yylg6i
faster: 1.10.2, 1.12, 1.14, 1.15.1, 1.17"
harfbuzz,"aces: 2.8.1, 2.8.2, 4.2.1, 5.3.1
faster: 2.6.4, 2.6.7, 2.8.1, 2.8.2, 4.2.1, 5.3.1"
highway,"aces: 1.0.3, 1.0.4
faster: 1.0.3, 1.0.4"
horovod,"aces: 0.22.1-CUDA-11.3.1-TensorFlow-2.6.0, 0.28.1-CUDA-11.7.0-TensorFlow-2.11.0, 0.28.1-CUDA-11.7.0-PyTorch-1.12.1
faster: 0.18.2-TensorFlow-1.15.2-Python-3.7.4, 0.22.0-PyTorch-1.8.1, 0.22.1-CUDA-11.3.1-TensorFlow-2.6.0, 0.23.0-TensorFlow-2.5.0, ..."
hyperopt,aces: 0.2.7
hypre,"aces: 2.25.0, 2.27.0, 2.31.0
expanse: hj2esdx, jj2ap7j, ...
faster: 2.18.2, 2.20.0, 2.21.0, 2.24.0, 2.25.0, 2.31.0"
icu,"aces: 67.1, 69.1, 71.1, 72.1, 73.2
faster: 64.2, 66.1, 67.1, 69.1, 71.1, 72.1, 73.2"
iml,aces: 1.0.5
ipython,"aces: 7.26.0, 8.5.0, 8.14.0
faster: 7.15.0-Python-3.8.2, 7.18.1, 7.26.0, 8.5.0"
isa-l,"aces: 2.30.0
faster: 2.30.0"
isl,"aces: 0.26
faster: 0.26"
itk,"aces: 5.2.1
faster: 5.2.1"
igprof,"aces: 5.9.18
faster: 5.9.18"
imagej,"aces: 1.53t-Java-11
faster: 1.54b-Java-1.8"
imagemagick,"aces: 7.0.11-14, 7.1.0-4, 7.1.0-37, 7.1.0-53, 7.1.1-15
delta: 6.9, 7.1.0
expanse: e46spvd, ...
faster: 7.0.10-1, 7.0.10-35, 7.0.11-14, 7.1.0-4, 7.1.0-37, 7.1.0-53"
imath,"aces: 3.1.5, 3.1.6, 3.1.7
faster: 3.1.5, 3.1.6, 3.1.7"
jansson,"aces: 2.13.1
faster: 2.13.1"
jasper,"aces: 2.0.24, 2.0.28, 2.0.33, 4.0.0
expanse: 2.0.16
faster: 1.900.1, 2.0.14, 2.0.24, 2.0.28, 2.0.33, 4.0.0"
java,"aces: 1.8.0_371, 11.0.16, 11.0.18, 17.0.6
faster: 1.8.0_281, 1.8.0_292-OpenJDK, 11.0.2, 13.0.2, 15.0.1, 17.0.2"
jmol,"aces: 16.1.59-Java-1.8.0_371, 16.1.59"
jsoncpp,"aces: 1.9.4, 1.9.5
faster: 1.9.3, 1.9.4, 1.9.5"
julia,"aces: 1.8.5-linux-x86_64, 1.9.3-linux-x86_64, 1.10.0-musl-x86_64, 1.10.2-linux-x86_64
anvil: v2.4.2, 1.6.2
bridges-2: 1.5.2
delta: 1.9.0, 1.10.2
expanse: olutp43
faster: 1.6.5-linux-x86_64, 1.7.0-linux-x86_64, 1.7.1-linux-x86_64, 1.7.2-linux-x86_64, 1.8.0-linux-x86_64, 1.9.3-linux-x86_64"
jupyterlab,aces: 4.0.3
jupyternotebook,aces: 7.0.3
kahip,"aces: 3.14, 3.16
faster: 3.14"
kalign,"aces: 3.3.1, 3.3.5, 3.4.0
faster: 3.3.1"
keras,"aces: 2.4.3-TensorFlow-2.5.0
faster: 2.4.3"
kraken2,"aces: 2.1.2
anvil: 2.1.2_fixftp, 2.1.2, 2.1.3
bridges-2: 2.1.2"
lame,"aces: 3.100
faster: 3.100"
lammps,"aces: 2Aug2023_update2-CUDA-11.8.0-sm90, 2Aug2023_update2-intel-2023.07, 3Aug2023-intel-2023.07, 23Jun2022_update4-kokkos-CUDA-11.4.1, ...
anvil: 10Feb2021, 15Jun2020, 29Oct2020, 20210310-kokkos, 20210310
bridges-2: 3Mar20, 14Dec21-intel, 23Jun22-intel, ...
delta: 2022.06.cpu, 2022.06.gpu_cuda, ...
expanse: 7e7qu7z-omp
faster: 3Mar2020-Python-3.8.2-kokkos, 17Nov2016, 23Jun2022-kokkos-CUDA-11.4.1, 29Sep2021-kokkos-sm80-noMP"
lasso-python,aces: 2.0.0
lerc,"aces: 4.0.0
faster: 4.0.0"
llvm,"aces: 10.0.1, 11.1.0, 12.0.1, 13.0.1, 14.0.3, 14.0.6-llvmlite, 14.0.6, 15.0.5, 16.0.6
delta: 15.0.0
faster: 9.0.0, 9.0.1, 10.0.1, 11.0.0, 11.1.0, 12.0.1, 13.0.1, 14.0.3, 14.0.6, 15.0.5, 16.0.6"
lmdb,"aces: 0.9.24, 0.9.28, 0.9.29, 0.9.31
faster: 0.9.24, 0.9.28, 0.9.29"
leptonica,"aces: 1.83.0
faster: 1.83.0"
leveldb,aces: 1.22
libsoup,"aces: 3.0.7
faster: 3.0.7"
libtiff,"aces: 4.1.0, 4.2.0, 4.3.0, 4.4.0, 4.5.0
anvil: 4.1.0
faster: 4.0.10, 4.1.0, 4.2.0, 4.3.0, 4.4.0, 4.5.0"
libint,"aces: 2.7.2-lmax-6-cp2k
faster: 2.6.0-lmax-6-cp2k, 2.7.2-lmax-6-cp2k"
littlecms,"aces: 2.12, 2.13.1, 2.14, 2.15
faster: 2.9, 2.11, 2.12, 2.13.1, 2.14"
lua,"aces: 5.4.4, 5.4.6
expanse: 5.4.4
faster: 5.3.5, 5.4.2, 5.4.3, 5.4.4"
m4,"aces: 1.4.18, 1.4.19
faster: 1.4.17, 1.4.18, 1.4.19"
mafft,"aces: 7.520-with-extensions
anvil: 7.475, 7.490
expanse: 7.453
faster: 7.470-with-extensions, 7.490-with-extensions, 7.505-with-extensions, 7.520-with-extensions"
matio,aces: 1.5.23
metis,"aces: 5.1.0
delta: 5.1.0
expanse: apmmdbv, hdhfvwi, ...
faster: 5.1.0"
mfem,"aces: 70941b4
faster: 4.6, 70941b4"
monai,aces: 1.0.1
mpc,"aces: 1.2.1, 1.3.1
anvil: 1.1.0
faster: 1.1.0, 1.2.1, 1.3.1"
mpfr,"aces: 4.1.0, 4.2.0, 4.2.1
anvil: 3.1.6, 4.0.2
expanse: 4.0.2
faster: 4.0.2, 4.1.0, 4.2.0"
mumps,"aces: 5.5.1-metis, 5.6.1-metis
expanse: mype32d-omp, rn3rgpn-omp, ...
faster: 5.2.1-metis, 5.3.5-metis, 5.4.0-metis, 5.4.1-metis, 5.5.1-metis"
mvapich2-gdr,aces: 2.3.7-GCC-11.2.0-CUDA-11.4.1
magics,aces: 4.13.0
mako,"aces: 1.1.3, 1.1.4, 1.2.0, 1.2.4
faster: 1.1.0, 1.1.2, 1.1.3, 1.1.4, 1.2.0, 1.2.4"
mamba,"aces: 23.1.0-4
faster: 4.14.0-0, 23.1.0-4"
matlab,"aces: R2023a, R2023b
anvil: R2020b, R2021b, R2022a, R2023a
bridges-2: R2019b, R2021a, R2021b, R2022b
expanse: lefe4oq, nmbr5dd
faster: R2021b, R2022b, R2023b
jetstream: R2021a"
maven,"aces: 3.9.6
faster: 3.6.3"
memoryviewer,aces: 1.0
mercurial,"aces: 6.4.5
expanse: qmgrjvl, sgok5dz"
mesa,"aces: 21.1.1, 21.1.7, 22.0.3, 22.2.4-LLVM-14.0.6, 22.2.4, 23.1.4
faster: 19.1.7, 20.0.2, 20.2.1, 21.1.1, 21.1.7, 22.0.3, 22.2.4-LLVM-14.0.6, 22.2.4, 23.1.4"
meson,"aces: 0.55.3, 0.58.0, 0.58.2, 0.62.1, 0.64.0, 1.1.1, 1.2.3
expanse: ljauepv, yjyazzn
faster: 0.55.1-Python-3.8.2, 0.55.3, 0.58.0, 0.58.2, 0.59.1-Python-3.7.4, 0.62.1, 0.64.0, 1.1.1"
miniconda3,"aces: 4.12.0, 22.11.1-1, 23.3.1-0, 23.5.2-0, 23.9.0-0
faster: 4.4.10, 4.7.10, 4.9.2, 4.12.0, 22.11.1-1, 23.3.1-0, 23.5.2-0"
namd,"aces: 2.14-mpi
anvil: 2.14, 3.0-alpha3-singlenode
bridges-2: 2.13-gpu, 2.14-cpu, 3.0b6
delta: 2.14.cuda.smp.s11, 2.14.x86_64.multicore.s11, ...
expanse: awifx3x, dstif4f, ruwh4yb
faster: 2.14"
namd-multicore-cuda,aces: 3.0b3
